coordinates,mechanic_stairs,line,url_linea,elevator,accesible,station
" -3.7039784766540205, 40.446966678007556 ",True,linea-6-circular,https://www.metromadrid.es/es/linea/linea-6-circular#estacion-620,True,True,Guzmán el Bueno
" -3.7039784766540205, 40.446966678007556 ",True,linea-6-circular,https://www.metromadrid.es/es/linea/linea-6-circular#estacion-621,False,False,Vicente Aleixandre
" -3.7267950694327174, 40.44355521068528 ",True,linea-6-circular,https://www.metromadrid.es/es/linea/linea-6-circular#estacion-622,True,True,Ciudad Universitaria
" -3.7194521744896463, 40.43501556410216 ",True,linea-6-circular,https://www.metromadrid.es/es/linea/linea-6-circular#estacion-311,True,True,Moncloa
" -3.715975031788373, 40.430658770692084 ",True,linea-6-circular,https://www.metromadrid.es/es/linea/linea-6-circular#estacion-310,True,True,Argüelles
" -3.715975031788373, 40.430658770692084 ",True,linea-6-circular,https://www.metromadrid.es/es/linea/linea-6-circular#estacion-625,True,True,Príncipe Pío
" -3.715975031788373, 40.430658770692084 ",True,linea-6-circular,https://www.metromadrid.es/es/linea/linea-6-circular#estacion-626,False,False,Puerta del Ángel
" -3.7389377724748316, 40.40991964465942 ",True,linea-6-circular,https://www.metromadrid.es/es/linea/linea-6-circular#estacion-627,False,False,Alto de Extremadura
" -3.7182557200044104, 40.384599358863206 ",True,linea-11,https://www.metromadrid.es/es/linea/linea-11#estacion-605,True,False,Plaza Elíptica
" -3.72791115890327, 40.38082723882115 ",True,linea-11,https://www.metromadrid.es/es/linea/linea-11#estacion-1102,True,True,Abrantes
" -3.7341716784290124, 40.37585968805198 ",True,linea-11,https://www.metromadrid.es/es/linea/linea-11#estacion-1103,True,True,Pan Bendito
" -3.73910622280992, 40.37359399926437 ",True,linea-11,https://www.metromadrid.es/es/linea/linea-11#estacion-1104,True,True,San Francisco
" -3.7094295067152068, 40.41808648235822 ",True,ramal,https://www.metromadrid.es/es/linea/ramal#estacion-209,True,True,Ópera
" -3.7094295067152068, 40.41808648235822 ",True,ramal,https://www.metromadrid.es/es/linea/ramal#estacion-625,True,True,Príncipe Pío
" -3.6410608382789014, 40.4301975485955 ",True,linea-7,https://www.metromadrid.es/es/linea/linea-7#estacion-705,False,False,Ascao
" -3.642834403605827, 40.43569222122078 ",True,linea-7,https://www.metromadrid.es/es/linea/linea-7#estacion-505,True,True,Pueblo Nuevo
" -3.642834403605827, 40.43569222122078 ",True,linea-7,https://www.metromadrid.es/es/linea/linea-7#estacion-707,False,False,Barrio de la Concepción
" -3.6629736837416154, 40.4394433512344 ",True,linea-7,https://www.metromadrid.es/es/linea/linea-7#estacion-708,False,False,Parque de las Avenidas
" -3.6721577545084036, 40.43933626219724 ",True,linea-7,https://www.metromadrid.es/es/linea/linea-7#estacion-709,False,False,Cartagena
" -3.6721577545084036, 40.43933626219724 ",True,linea-7,https://www.metromadrid.es/es/linea/linea-7#estacion-411,False,False,Avenida de América
" -3.6721577545084036, 40.43933626219724 ",True,linea-7,https://www.metromadrid.es/es/linea/linea-7#estacion-711,True,True,Gregorio Marañón
" -3.699255078803118, 40.43837372987501 ",True,linea-7,https://www.metromadrid.es/es/linea/linea-7#estacion-712,True,True,Alonso Cano
" -3.6668070437216325, 40.48013291749131 ",True,linea-1,https://www.metromadrid.es/es/linea/linea-1#estacion-153,True,True,Pinar de Chamartín
" -3.709084232835683, 40.499646860142015 ",True,linea-9,https://www.metromadrid.es/es/linea/linea-9#estacion-952,True,True,Paco de Lucía
" -3.7989093691460076, 40.282672409397556 ",True,linea-12-metrosur,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1214,True,True,Fuenlabrada Central
" -3.7869823082521563, 40.28683532541408 ",True,linea-12-metrosur,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1215,True,True,Parque de los Estados
" -3.7568280496874342, 40.28873924742738 ",True,linea-12-metrosur,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1217,True,True,Arroyo Culebro
" -3.745771718182202, 40.29324358021325 ",True,linea-12-metrosur,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1218,True,True,Conservatorio
" -3.736641503588036, 40.30080675005403 ",True,linea-12-metrosur,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1219,True,True,Alonso de Mendoza
" -3.7340338202855166, 40.309922620744835 ",True,linea-12-metrosur,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1220,True,True,Getafe Central
" -3.7222501498250757, 40.31179862923095 ",True,linea-12-metrosur,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1221,True,True,Juan de la Cierva
" -3.7098585802082673, 40.318623218355846 ",True,linea-12-metrosur,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1222,True,True,El Casar
" -3.718203881803276, 40.324220465768875 ",True,linea-12-metrosur,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1223,True,True,Los Espartales
