mechanic_stairs,accesible,station,elevator,line,coordinates
True,True,Lacoma,True,linea-7," -3.7230534484922786, 40.48501089648855 "
True,True,Mar de Cristal,True,linea-4," -3.6383312545367454, 40.46941986762225 "
True,True,San Lorenzo,True,linea-4," -3.6395823502616023, 40.47446698722932 "
True,True,Parque de Santa María,True,linea-4," -3.6395823502616023, 40.47446698722932 "
True,True,Hortaleza,True,linea-4," -3.6525796374794783, 40.47536730266078 "
True,True,Manoteras,True,linea-4," -3.662905158694452, 40.476867092844046 "
True,True,Pinar de Chamartín,True,linea-4," -3.6668070437216325, 40.48013291749131 "
True,True,Pitis,True,linea-7," -3.7258995067914737, 40.49510106705936 "
True,True,Las Rosas,True,linea-2," -3.603312655422655, 40.42374301041612 "
True,True,Avenida de Guadalajara,True,linea-2," -3.612070828457266, 40.422390661721714 "
True,True,Alsacia,True,linea-2," -3.6235144027647195, 40.418284443909386 "
True,True,La Almudena,True,linea-2," -3.6391475841604057, 40.42361352022292 "
True,True,La Elipa,True,linea-2," -3.650528497343345, 40.4266131180015 "
False,False,Ventas,False,linea-2," -3.663667689792175, 40.43088079412545 "
True,False,Manuel Becerra,False,linea-2," -3.6692617275650825, 40.42790259126464 "
False,True,Goya,True,linea-2," -3.6759123759569388, 40.42453956509611 "
True,False,Príncipe de Vergara,False,linea-2," -3.6801282562882505, 40.42293825869698 "
False,False,Retiro,False,linea-2," -3.6862547889045016, 40.420298442434046 "
False,False,Banco de España,False,linea-2," -3.6862547889045016, 40.420298442434046 "
False,False,Sevilla,False,linea-2," -3.699256777934109, 40.41804935637811 "
True,True,Sol,True,linea-2," -3.7032639472488222, 40.416871893770455 "
True,True,Ópera,True,linea-2," -3.7094295067152068, 40.41808648235822 "
False,False,Santo Domingo,False,linea-2," -3.70796634277563, 40.421311677323516 "
True,False,Noviciado,False,linea-2," -3.7074256795634843, 40.42483751820921 "
False,False,San Bernardo,False,linea-2," -3.7055818156463136, 40.43001095773282 "
False,False,Quevedo,False,linea-2," -3.7043420216216063, 40.43321671973448 "
True,True,Canal,True,linea-2," -3.704337220993404, 40.43840594045452 "
True,True,Cuatro Caminos,True,linea-2," -3.7039784766540205, 40.446966678007556 "
True,True,Villaverde Alto,True,linea-3," -3.711990993449082, 40.341223138866916 "
True,True,San Cristóbal,True,linea-3," -3.711990993449082, 40.341223138866916 "
True,True,Villaverde Bajo-Cruce,True,linea-3," -3.711990993449082, 40.341223138866916 "
True,True,Ciudad de los Ángeles,True,linea-3," -3.711990993449082, 40.341223138866916 "
True,True,San Fermín-Orcasur,True,linea-3," -3.711990993449082, 40.341223138866916 "
True,True,Hospital 12 de Octubre,True,linea-3," -3.695855104968134, 40.37502451461551 "
True,True,Almendrales,True,linea-3," -3.697892329475578, 40.38409341257691 "
True,True,Legazpi,True,linea-3," -3.695125551387507, 40.391146176794116 "
True,True,Delicias,True,linea-3," -3.6942021511558596, 40.39989953900073 "
False,True,Palos de la Frontera,True,linea-3," -3.6942347260526547, 40.40307053569799 "
True,True,Embajadores,True,linea-3," -3.702681992509139, 40.40511861972591 "
True,True,Lavapiés,True,linea-3," -3.702681992509139, 40.40511861972591 "
True,True,Sol,True,linea-3," -3.7032639472488222, 40.416871893770455 "
True,True,Callao,True,linea-3," -3.7056671453961694, 40.420127531994346 "
True,True,Plaza de España,True,linea-3," -3.7056671453961694, 40.420127531994346 "
False,True,Ventura Rodríguez,True,linea-3," -3.7056671453961694, 40.420127531994346 "
True,True,Argüelles,True,linea-3," -3.715975031788373, 40.430658770692084 "
True,True,Moncloa,True,linea-3," -3.7194521744896463, 40.43501556410216 "
True,True,Laguna,True,linea-6-circular," -3.744300361169432, 40.39922754347372 "
True,True,Carpetana,True,linea-6-circular," -3.74100000338481, 40.392699152623656 "
True,False,Oporto,False,linea-6-circular," -3.731327675889255, 40.38846340308106 "
True,False,Opañel,False,linea-6-circular," -3.731327675889255, 40.38846340308106 "
True,False,Plaza Elíptica,True,linea-6-circular," -3.7182557200044104, 40.384599358863206 "
True,True,Usera,True,linea-6-circular," -3.7069010072851825, 40.38709277398245 "
True,True,Legazpi,True,linea-6-circular," -3.695125551387507, 40.391146176794116 "
