elevator,coordinates,mechanic_stairs,accesible,line,station
True," -3.7869823082521563, 40.28683532541408 ",True,True,linea-12-metrosur,Parque de los Estados
True," -3.7568280496874342, 40.28873924742738 ",True,True,linea-12-metrosur,Arroyo Culebro
True," -3.745771718182202, 40.29324358021325 ",True,True,linea-12-metrosur,Conservatorio
True," -3.774618016060599, 40.39697434800015 ",True,True,ml3,Colonia Jardín
False," -3.78399891339169, 40.39708229442025 ",False,True,ml3,Ciudad de la Imagen
False," -3.78399891339169, 40.39708229442025 ",False,True,ml3,José Isbert
False," -3.7955757686710463, 40.39454375022683 ",False,True,ml3,Ciudad del Cine
False," -3.803863391333755, 40.39687382679988 ",False,True,ml3,Cocheras
True," -3.5345387003640565, 40.41760391086565 ",True,True,linea-7,Hospital del Henares
True," -3.71635730886455, 40.491088577548204 ",True,True,linea-9,Mirasierra
False," -3.7075223938390494, 40.484656572327964 ",True,False,linea-9,Herrera Oria
False," -3.7031700829535565, 40.47688138899434 ",True,False,linea-9,Barrio del Pilar
False," -3.6958849000624356, 40.46943002884863 ",True,False,linea-9,Ventilla
True," -3.689182340661554, 40.466893623466774 ",True,False,linea-9,Plaza de Castilla
False," -3.6791750808454435, 40.46761952315198 ",True,False,linea-9,Duque de Pastrana
False," -3.6791750808454435, 40.46761952315198 ",True,False,linea-9,Pío XII
True," -3.676832402038624, 40.456336002823406 ",True,True,linea-9,Colombia
False," -3.6773847300795506, 40.451440884039954 ",True,False,linea-9,Concha Espina
False," -3.678220651650197, 40.44426481662303 ",True,False,linea-9,Cruz del Rayo
False," -3.678220651650197, 40.44426481662303 ",True,False,linea-9,Avenida de América
False," -3.678220651650197, 40.44426481662303 ",True,False,linea-9,Núñez de Balboa
False," -3.6801282562882505, 40.42293825869698 ",True,False,linea-9,Príncipe de Vergara
False," -3.6785854582722304, 40.41838874804179 ",True,False,linea-9,Ibiza
False," -3.80448162240161, 40.423067755001526 ",False,True,ml2,Pozuelo Oeste
False," -3.80448162240161, 40.423067755001526 ",False,True,ml2,Bélgica
False," -3.8016233717957095, 40.43252903351356 ",False,True,ml2,Dos Castillas
False," -3.7952551244314376, 40.433374816567124 ",False,True,ml2,Campus de Somosaguas
True," -3.793061094805115, 40.439299781486184 ",True,True,ml2,Avenida de Europa
False," -3.6903820686972306, 40.4515802047538 ",False,True,ml2,Berna
False," -3.6903820686972306, 40.4515802047538 ",False,True,ml2,Estación de Aravaca
True," -3.611465758862776, 40.55976240170775 ",True,True,linea-10,Hospital Infanta Sofía
False," -3.7055818156463136, 40.43001095773282 ",False,False,linea-4,San Bernardo
False," -3.702188295886296, 40.42904963582931 ",False,False,linea-4,Bilbao
False," -3.702188295886296, 40.42904963582931 ",True,False,linea-4,Alonso Martínez
False," -3.702188295886296, 40.42904963582931 ",False,False,linea-4,Colón
False," -3.686637031792093, 40.42543132477729 ",False,False,linea-4,Serrano
False," -3.686637031792093, 40.42543132477729 ",False,False,linea-4,Velázquez
True," -3.6759123759569388, 40.42453956509611 ",False,True,linea-4,Goya
False," -3.6754163728813944, 40.429164099118886 ",False,False,linea-4,Lista
False," -3.6754163728813944, 40.429164099118886 ",True,False,linea-4,Diego de León
False," -3.6754163728813944, 40.429164099118886 ",True,False,linea-4,Avenida de América
False," -3.6748238288203408, 40.444185596768286 ",True,False,linea-4,Prosperidad
False," -3.6679186527610956, 40.44824371776939 ",True,False,linea-4,Alfonso XIII
False," -3.6611898359519834, 40.4535346495725 ",True,False,linea-4,Avenida de La Paz
False," -3.6561881225682944, 40.45582440947207 ",True,False,linea-4,Arturo Soria
False," -3.645820621327798, 40.45944135187602 ",True,False,linea-4,Esperanza
True," -3.635600579737649, 40.46380429988092 ",True,True,linea-4,Canillas
True," -3.711990993449082, 40.341223138866916 ",True,True,linea-3,Villaverde Alto
True," -3.653538626506948, 40.4854519186063 ",True,True,ml1,María Tudor
False," -3.6650747017548797, 40.50543098507407 ",False,True,ml1,Palas de Rey
True," -3.669446787174648, 40.50832462832863 ",True,True,ml1,Las Tablas
True," -3.736641503588036, 40.30080675005403 ",True,True,linea-12-metrosur,Alonso de Mendoza
True," -3.7340338202855166, 40.309922620744835 ",True,True,linea-12-metrosur,Getafe Central
True," -3.7222501498250757, 40.31179862923095 ",True,True,linea-12-metrosur,Juan de la Cierva
True," -3.7098585802082673, 40.318623218355846 ",True,True,linea-12-metrosur,El Casar
True," -3.718203881803276, 40.324220465768875 ",True,True,linea-12-metrosur,Los Espartales
True," -3.729638476861858, 40.32906791420299 ",True,True,linea-12-metrosur,El Bercial
True," -3.7401861342319944, 40.33663165911443 ",True,True,linea-12-metrosur,El Carrascal
True," -3.7401861342319944, 40.33663165911443 ",True,True,linea-12-metrosur,Julián Besteiro
True," -3.759428416851752, 40.32659685107382 ",True,True,linea-12-metrosur,Casa del Reloj
True," -3.767978430492755, 40.321765545104476 ",True,True,linea-12-metrosur,Hospital Severo Ochoa
True," -3.767978430492755, 40.321765545104476 ",True,True,linea-12-metrosur,Leganés Central
True," -3.7758763365834476, 40.33615451429297 ",True,True,linea-12-metrosur,San Nicasio
False," -3.8167531164343904, 40.39871142954957 ",False,True,ml3,Retamares
True," -3.8167531164343904, 40.39871142954957 ",False,True,ml3,Montepríncipe
False," -3.8381200141598604, 40.39419815503486 ",False,True,ml3,Ventorro del Cano
False," -3.8477451022295583, 40.39501087255144 ",False,True,ml3,Prado del Espino
