accesible,elevator,line,mechanic_stairs,coordinates,station
True,True,linea-1,True," -3.6452252835565764, 40.389768700352434 ",Alto del Arenal
True,True,linea-1,True," -3.6452252835565764, 40.389768700352434 ",Miguel Hernández
True,True,linea-1,True," -3.624724516699161, 40.38216046446645 ",Sierra de Guadalupe
True,True,linea-1,True," -3.621308015889596, 40.37959325302986 ",Villa de Vallecas
True,True,linea-1,True," -3.618850584099445, 40.37238110745017 ",Congosto
True,True,linea-1,True," -3.6134711039363103, 40.37018451188382 ",La Gavia
True,True,linea-1,True," -3.5995338882203147, 40.36322145811309 ",Las Suertes
True,True,linea-1,True," -3.593169836651139, 40.36006503137792 ",Valdecarros
True,True,ml1,True," -3.653538626506948, 40.4854519186063 ",Blasco Ibáñez
True,True,ml1,True," -3.653538626506948, 40.4854519186063 ",María Tudor
True,False,ml1,False," -3.6650747017548797, 40.50543098507407 ",Palas de Rey
True,True,ml1,True," -3.669446787174648, 40.50832462832863 ",Las Tablas
True,True,linea-3,True," -3.711990993449082, 40.341223138866916 ",Villaverde Alto
True,True,linea-6-circular,True," -3.744300361169432, 40.39922754347372 ",Laguna
True,True,linea-2,True," -3.603312655422655, 40.42374301041612 ",Las Rosas
True,True,linea-4,True," -3.715975031788373, 40.430658770692084 ",Argüelles
True,True,linea-12-metrosur,True," -3.812116233154177, 40.34523919601582 ",Parque de Lisboa
True,True,linea-12-metrosur,True," -3.812116233154177, 40.34523919601582 ",Alcorcón Central
True,True,linea-12-metrosur,True," -3.8493434114365463, 40.345890739787706 ",Parque Oeste
True,True,linea-12-metrosur,True," -3.872188547431641, 40.33511700914022 ",Universidad Rey Juan Carlos
True,True,linea-12-metrosur,True," -3.872188547431641, 40.33511700914022 ",Móstoles Central
True,True,linea-12-metrosur,True," -3.8648944898656326, 40.32167611681609 ",Pradillo
True,True,linea-12-metrosur,True," -3.8648944898656326, 40.32167611681609 ",Hospital de Móstoles
True,True,linea-12-metrosur,True," -3.8648944898656326, 40.32167611681609 ",Manuela Malasaña
True,True,linea-12-metrosur,True," -3.8376919076087863, 40.29680381534007 ",Loranca
True,True,linea-12-metrosur,True," -3.8164270663524102, 40.28574839354916 ",Hospital de Fuenlabrada
True,True,linea-12-metrosur,True," -3.8063265863569726, 40.28517056325265 ",Parque Europa
True,True,linea-12-metrosur,True," -3.7989093691460076, 40.282672409397556 ",Fuenlabrada Central
True,True,linea-12-metrosur,True," -3.7869823082521563, 40.28683532541408 ",Parque de los Estados
True,True,linea-12-metrosur,True," -3.7568280496874342, 40.28873924742738 ",Arroyo Culebro
True,True,linea-12-metrosur,True," -3.745771718182202, 40.29324358021325 ",Conservatorio
True,True,linea-12-metrosur,True," -3.736641503588036, 40.30080675005403 ",Alonso de Mendoza
True,True,linea-3,True," -3.711990993449082, 40.341223138866916 ",San Cristóbal
True,True,linea-3,True," -3.711990993449082, 40.341223138866916 ",Villaverde Bajo-Cruce
True,True,linea-3,True," -3.711990993449082, 40.341223138866916 ",Ciudad de los Ángeles
True,True,linea-3,True," -3.711990993449082, 40.341223138866916 ",San Fermín-Orcasur
True,True,linea-3,True," -3.695855104968134, 40.37502451461551 ",Hospital 12 de Octubre
True,True,linea-3,True," -3.697892329475578, 40.38409341257691 ",Almendrales
True,True,linea-3,True," -3.695125551387507, 40.391146176794116 ",Legazpi
True,True,linea-3,True," -3.6942021511558596, 40.39989953900073 ",Delicias
True,True,linea-3,False," -3.6942347260526547, 40.40307053569799 ",Palos de la Frontera
True,True,linea-3,True," -3.702681992509139, 40.40511861972591 ",Embajadores
True,True,linea-3,True," -3.702681992509139, 40.40511861972591 ",Lavapiés
True,True,linea-3,True," -3.7032639472488222, 40.416871893770455 ",Sol
True,True,linea-3,True," -3.7056671453961694, 40.420127531994346 ",Callao
True,True,linea-3,True," -3.7056671453961694, 40.420127531994346 ",Plaza de España
True,True,linea-6-circular,True," -3.74100000338481, 40.392699152623656 ",Carpetana
False,False,linea-6-circular,True," -3.731327675889255, 40.38846340308106 ",Oporto
False,False,linea-6-circular,True," -3.731327675889255, 40.38846340308106 ",Opañel
False,True,linea-6-circular,True," -3.7182557200044104, 40.384599358863206 ",Plaza Elíptica
True,True,linea-6-circular,True," -3.7069010072851825, 40.38709277398245 ",Usera
True,True,linea-6-circular,True," -3.695125551387507, 40.391146176794116 ",Legazpi
True,True,linea-6-circular,True," -3.6886414650639274, 40.39309490002911 ",Arganzuela-Planetario
False,False,linea-6-circular,True," -3.6886414650639274, 40.39309490002911 ",Méndez Álvaro
True,True,linea-6-circular,True," -3.6886414650639274, 40.39309490002911 ",Pacífico
True,True,linea-6-circular,True," -3.670409622513099, 40.40696791355658 ",Conde de Casal
True,True,linea-6-circular,True," -3.669523455578141, 40.41506318581949 ",Sainz de Baranda
False,False,linea-6-circular,True," -3.669523455578141, 40.41506318581949 ",O´Donnell
False,False,linea-6-circular,True," -3.6692617275650825, 40.42790259126464 ",Manuel Becerra
False,False,linea-6-circular,True," -3.6692617275650825, 40.42790259126464 ",Diego de León
False,False,linea-6-circular,True," -3.6692617275650825, 40.42790259126464 ",Avenida de América
True,True,linea-2,True," -3.612070828457266, 40.422390661721714 ",Avenida de Guadalajara
True,True,linea-2,True," -3.6235144027647195, 40.418284443909386 ",Alsacia
True,True,linea-2,True," -3.6391475841604057, 40.42361352022292 ",La Almudena
True,True,linea-2,True," -3.650528497343345, 40.4266131180015 ",La Elipa
False,False,linea-2,False," -3.663667689792175, 40.43088079412545 ",Ventas
False,False,linea-2,True," -3.6692617275650825, 40.42790259126464 ",Manuel Becerra
True,True,linea-2,False," -3.6759123759569388, 40.42453956509611 ",Goya
False,False,linea-2,True," -3.6801282562882505, 40.42293825869698 ",Príncipe de Vergara
False,False,linea-2,False," -3.6862547889045016, 40.420298442434046 ",Retiro
False,False,linea-2,False," -3.6862547889045016, 40.420298442434046 ",Banco de España
False,False,linea-2,False," -3.699256777934109, 40.41804935637811 ",Sevilla
True,True,linea-2,True," -3.7032639472488222, 40.416871893770455 ",Sol
True,True,linea-2,True," -3.7094295067152068, 40.41808648235822 ",Ópera
False,False,linea-2,False," -3.70796634277563, 40.421311677323516 ",Santo Domingo
False,False,linea-2,True," -3.7074256795634843, 40.42483751820921 ",Noviciado
False,False,linea-2,False," -3.7055818156463136, 40.43001095773282 ",San Bernardo
False,False,linea-2,False," -3.7043420216216063, 40.43321671973448 ",Quevedo
True,True,linea-2,True," -3.704337220993404, 40.43840594045452 ",Canal
True,True,linea-5,True," -3.587529851420831, 40.457788368783184 ",Alameda de Osuna
False,False,linea-4,False," -3.7055818156463136, 40.43001095773282 ",San Bernardo
False,False,linea-4,False," -3.702188295886296, 40.42904963582931 ",Bilbao
False,False,linea-4,True," -3.702188295886296, 40.42904963582931 ",Alonso Martínez
False,False,linea-4,False," -3.702188295886296, 40.42904963582931 ",Colón
False,False,linea-4,False," -3.686637031792093, 40.42543132477729 ",Serrano
False,False,linea-4,False," -3.686637031792093, 40.42543132477729 ",Velázquez
True,True,linea-4,False," -3.6759123759569388, 40.42453956509611 ",Goya
False,False,linea-4,False," -3.6754163728813944, 40.429164099118886 ",Lista
False,False,linea-4,True," -3.6754163728813944, 40.429164099118886 ",Diego de León
False,False,linea-4,True," -3.6754163728813944, 40.429164099118886 ",Avenida de América
False,False,linea-4,True," -3.6748238288203408, 40.444185596768286 ",Prosperidad
False,False,linea-4,True," -3.6679186527610956, 40.44824371776939 ",Alfonso XIII
False,False,linea-4,True," -3.6611898359519834, 40.4535346495725 ",Avenida de La Paz
False,False,linea-4,True," -3.6561881225682944, 40.45582440947207 ",Arturo Soria
False,False,linea-4,True," -3.645820621327798, 40.45944135187602 ",Esperanza
True,True,linea-4,True," -3.635600579737649, 40.46380429988092 ",Canillas
True,True,linea-12-metrosur,True," -3.7340338202855166, 40.309922620744835 ",Getafe Central
True,True,linea-12-metrosur,True," -3.7222501498250757, 40.31179862923095 ",Juan de la Cierva
True,True,linea-12-metrosur,True," -3.7098585802082673, 40.318623218355846 ",El Casar
